0.10359	-0.12779
0.052149	-0.12424
-2.1598e-13	-0.12304
-0.052149	-0.12424
-0.10359	-0.12779
0.13154	-0.083076
0.079666	-0.077991
0.026682	-0.075386
-0.026682	-0.075386
-0.079666	-0.077991
-0.13154	-0.083076
0.15988	-0.039072
0.10787	-0.032357
0.054335	-0.028199
-1.8692e-19	-0.026791
-0.054335	-0.028199
-0.10787	-0.032357
-0.15988	-0.039072
0.16315	0.01555
0.11012	0.022723
0.05548	0.027161
4.3307e-20	0.028663
-0.05548	0.027161
-0.11012	0.022723
-0.16315	0.01555
0.13906	0.066339
0.084301	0.072424
0.028248	0.075535
-0.028248	0.075535
-0.084301	0.072424
-0.13906	0.066339
0.11349	0.1157
0.057197	0.12046
-2.9647e-13	0.12206
-0.057197	0.12046
-0.11349	0.1157
